slug,displayName,aliases,clientDescription,clientInstructions,clientMistakes,clientBenefits,defaultCue,primaryMuscles,secondaryMuscles,equipment,movementPattern,difficulty,posterFile,videoFile,sourceName,contentStatus,reviewFlags
abdominals-stretch-variation-four,Abdominals Stretch Variation Four,,A floor-based ab stretch in a cobra-style position that opens the entire front of the core through spinal extension.,"Lie face down on the floor with your legs extended behind you and your palms flat under your shoulders. | Press through your hands to lift your chest off the floor, keeping your hips and thighs grounded. | Pull your shoulders down and away from your ears to open the chest and deepen the stretch through the abs. | Hold the lifted position for 15 to 30 seconds, breathing slowly and letting the stretch settle. | Lower your torso back down with control, not letting your chest drop suddenly to the floor. | Repeat for 3 to 4 rounds, going slightly higher each time as your body warms up.","Shrugging the shoulders up to the ears, which compresses the neck and limits how far the chest can open. | Lifting the hips off the floor early, which removes the stretch from the abdominal wall. | Holding the breath through the position rather than breathing deeply into the belly to deepen the release. | Forcing comfortable extension on the first rep — the body needs a few warm-up rounds before deeper range is controlled.",Opens the entire front of the core through deep spinal extension. | Releases hip flexor tightness from sitting or running. | Improves overhead and bench-press positioning by restoring thoracic mobility.,Move slowly into a comfortable range and keep breathing throughout.,Core,,Bodyweight,Mobility,beginner,posters/abdominals-stretch-variation-four.webp,abdominals-stretch-variation-four.mp4,Abdominals Stretch Variation Four,draft_requires_human_review,absolute_or_safety_claim | marketing_or_hype_language
abdominals-stretch-variation-one,Abdominals Stretch Variation One,,A controlled abdominal stretch that opens the front of the torso and resets posture after heavy core work.,"Start standing tall with your feet hip-width apart and your hands resting lightly on your lower back for support. | Press your hips gently forward and lift your chest up toward the ceiling without forcing the bend. | Drop your gaze slightly back, opening through the chest and front of the abs as you breathe deeply. | Hold the position for 15 to 30 seconds, breathing into your belly and letting the stretch deepen on each exhale. | Slowly return to standing by re-engaging your core and tucking your tailbone under. | Repeat for 2 to 3 rounds, easing further into the stretch each time as your body warms up.","Forcing the back bend with your shoulders instead of letting the chest lead — this can increase demand on the lower back without stretching the abs. | Holding your breath through the stretch, which tightens the core and works against the lengthening you're after. | Rushing in and out of the position rather than easing in slowly — the stretch needs time under tension to release. | Dropping the head too far back, putting needless pressure on the neck instead of the abdominal wall.",Releases tension in the front of the core after heavy ab training. | Opens up the chest and improves overhead posture. | Resets the breath and prepares the body for the next exercise.,Move slowly into a comfortable range and keep breathing throughout.,Core,,Bodyweight,Mobility,beginner,posters/abdominals-stretch-variation-one.webp,abdominals-stretch-variation-one.mp4,Abdominals Stretch Variation One,draft_requires_human_review,
abdominals-stretch-variation-three,Abdominals Stretch Variation Three,,An ab stretch that combines extension and rotation to release both the rectus abdominis and the obliques.,"Start in a kneeling position with your hips stacked over your knees and your hands resting on your hips. | Press your hips forward as you arc your torso back and slightly to one side, opening the front and side of the core. | Keep your gaze soft and let the chest lead the movement — avoid letting the head drop too far back. | Hold the position for 15 to 30 seconds, breathing into the stretch rather than holding the breath. | Return to upright with control, then repeat the bend toward the opposite side. | Complete 2 to 3 rounds per side, deepening the rotation gradually as your tissues warm up.","Collapsing into the lower back instead of leading with the chest — the lift should come from the upper torso. | Squeezing the glutes too hard during the bend, which tilts the pelvis and shortens the stretch on the abs. | Letting the head crank back at the end of the rotation, placing unnecessary stress on the cervical spine. | Skipping the side-to-side variation and only bending straight back, missing the oblique component entirely.",Lengthens both the rectus abdominis and the obliques in a single position. | Improves trunk mobility for rotational sports and complex lifts. | Counters the postural compression of long days at a desk.,Move slowly into a comfortable range and keep breathing throughout.,Core,,Bodyweight,Mobility,beginner,posters/abdominals-stretch-variation-three.webp,abdominals-stretch-variation-three.mp4,Abdominals Stretch Variation Three,draft_requires_human_review,
abdominals-stretch-variation-two,Abdominals Stretch Variation Two,,An abdominal stretch with a side-bend element that opens both the rectus abdominis and the obliques.,"Start standing with feet shoulder-width apart and your right arm reaching straight up overhead. | Bend your torso gently to the left, sliding your left hand down your thigh as your right arm arcs over. | Keep both hips facing forward — let the stretch travel through your obliques and the side of your waist. | Hold for 15 to 30 seconds, breathing slowly and lengthening on each exhale rather than forcing depth. | Return to upright with control, then switch sides and repeat with the left arm overhead. | Complete 2 to 3 rounds per side, increasing the lean gradually as the obliques warm up.","Letting the hips swing out as you lean — this kills the oblique stretch and shifts load to the lower back. | Twisting the torso forward or back instead of bending purely sideways, which dulls the side-body lengthening. | Forcing depth in the first few seconds rather than letting the breath ease you deeper over time. | Tensing the shoulder of the raised arm — the arm should reach long but stay relaxed at the trap.","Stretches the obliques, which most core training not reaches. | Improves rotational range of motion for sports and lifts. | Decompresses the side body after long sitting or repeated bending.",Move slowly into a comfortable range and keep breathing throughout.,Core,,Bodyweight,Mobility,beginner,posters/abdominals-stretch-variation-two.webp,abdominals-stretch-variation-two.mp4,Abdominals Stretch Variation Two,draft_requires_human_review,absolute_or_safety_claim
band-curl,Band Curl,Curl,A standing biceps curl using a resistance band.,"Stand on the middle of the band with your feet shoulder-width apart, holding one handle in each hand at your sides. | Keep your elbows tucked into your ribs and your palms facing forward at the bottom of the rep. | Curl both hands up toward your shoulders by squeezing the biceps, keeping the elbows pinned in place. | Pause briefly at the top with the biceps fully contracted, feeling the band's tension at peak resistance. | Lower your hands back down with control over a 2 to 3 second eccentric, fighting the band on the way down. | Repeat for 10 to 15 reps, focusing on the squeeze at the top rather than the speed of the movement.","Letting the elbows drift forward as you curl, which turns the movement into a half-rep front raise. | Standing on too narrow a section of the band, which makes the tension uneven between the two arms. | Rushing the eccentric and letting the band snap your hands back down — you lose half the time-under-tension. | Leaning back to swing the weight up, which shifts work from the biceps to momentum and the lower back.",Builds biceps size and strength without a gym or weights. | Trains a stronger top-end contraction thanks to the band's progressive resistance. | Travel- and home-friendly — works anywhere with a single band.,Keep your ribs controlled and lead the movement with your elbows.,Biceps,,Band,Pull,beginner,posters/band-curl.webp,band-curl.mp4,Band Curl,draft_requires_human_review,medical_or_rehab_claim
band-high-face-pull,Band High Face Pull,High Face Pull,A high-anchor band pull to the face that builds rear-delt strength and balances out heavy pressing work.,"Anchor a band at slightly above eye level and grip both ends with your palms facing the floor. | Step back until the band has tension at full arm extension and stand tall with your feet shoulder-width. | Pull both hands toward your face, leading with your elbows and keeping them at or above shoulder height. | Squeeze your shoulder blades together at the end of the pull, feeling the rear delts and mid-back engage. | Slowly return to the starting position over 2 to 3 seconds, keeping tension on the band the whole time. | Repeat for 12 to 20 reps, prioritizing a clean squeeze over heavy band tension.","Letting the elbows drop below shoulder height, which turns the movement into a row and skips the rear delts. | Pulling with the biceps instead of the elbows, leaving the upper back understimulated. | Using too heavy a band so form breaks down — light tension with clean reps beats heavy poor-quality reps here. | Shrugging the shoulders up to the ears at the end of the pull, loading the traps instead of the rear delts.",Strengthens the rear delts and upper back to balance out heavy pressing. | Supports upper-back strength and positional control and shoulder-blade control after long days at a screen. | Adds a low-impact accessory exercise that works anywhere with a band.,Keep your ribs controlled and lead the movement with your elbows.,Shoulders,Trapezius,Band,Pull,beginner,posters/band-high-face-pull.webp,band-high-face-pull.mp4,Band High Face Pull,draft_requires_human_review,posture_or_correction_claim
band-hip-abduction,Band Hip Abduction,Hip Abduction,"A standing band-resisted hip abduction that targets the glute medius and primes the hips for squats, deadlifts, and running.","Loop a mini band around both ankles or just above the knees, depending on resistance preference. | Stand tall with feet hip-width apart and a slight bend in the knees, hands on hips for balance. | Shift your weight onto your left leg and press your right leg straight out to the side against the band. | Pause briefly at the top of the lift, feeling the squeeze in the side of your right hip. | Lower the right leg back to the starting position with control, keeping tension on the band throughout. | Complete 12 to 15 reps per side, alternating legs once the working glute is fully fatigued.","Leaning the torso to the opposite side to swing the leg out, which removes load from the glute medius. | Letting the hips rotate forward as the leg lifts, turning the movement into a hip-flexor exercise. | Using a band so heavy that form breaks — start light to feel the glute working, then progress. | Rushing the eccentric and letting the band snap the leg back in, losing half the time-under-tension.","Activates the glute medius for better squat, deadlift, and running mechanics. | Reduces knee valgus and improves single-leg stability. | Travel-friendly and beginner-friendly — works with a single mini band.",Keep your pelvis steady and move the working leg without leaning.,Glutes,,Band,Hip Abduction,beginner,posters/band-hip-abduction.webp,band-hip-abduction.mp4,Band Hip Abduction,draft_requires_human_review,medical_or_rehab_claim
band-kneeling-pulldown,Band Kneeling Pulldown,Kneeling Pulldown,A kneeling pulldown using an overhead band anchor.,"Anchor a band high overhead — over a door, a beam, or a pull-up bar — and grab both ends. | Kneel down far enough that the band has tension at full arm extension, with arms reaching up and out. | Pull both elbows down and slightly back toward your ribs, leading with the elbows rather than the hands. | Squeeze your shoulder blades down and together at the bottom, feeling the lats fully contract. | Slowly return to the starting position over 2 to 3 seconds, fighting the band the whole way up. | Repeat for 10 to 15 reps, prioritizing a strong lat squeeze at the bottom of every rep.","Pulling with the biceps and bending the wrists, which leaves the lats understimulated. | Leaning back excessively to use bodyweight, which turns the move into a row instead of a pulldown. | Letting the shoulders shrug up to the ears at the top, losing the lat-pull pattern entirely. | Snapping the band back up on the eccentric and missing the most muscle-building part of the rep.","Builds the lats without needing a pull-up bar or cable machine. | Trains the same vertical pull as a lat pulldown, anywhere with a band anchor. | Improves shoulder-blade control and pulling strength for harder back work.",Keep your ribs controlled and lead the movement with your elbows.,Back,Biceps,Band,Pull,beginner,posters/band-kneeling-pulldown.webp,band-kneeling-pulldown.mp4,Band Kneeling Pulldown,draft_requires_human_review,
band-lateral-raise,Band Lateral Raise,Lateral Raise,A standing lateral raise with band resistance.,"Stand on the middle of a band with feet shoulder-width apart, holding one handle in each hand at your sides. | Keep a slight bend in your elbows and your palms facing your thighs at the start of the movement. | Lift both arms straight out to the sides until your hands reach shoulder height, leading with the elbows. | Pause briefly at the top, feeling the side delts squeeze under the band's peak tension. | Lower your arms back down with control over a 2 to 3 second eccentric, fighting the band the whole way. | Repeat for 12 to 15 reps, prioritizing strict form over band tension.","Swinging the torso to throw the arms up — momentum cheats the side delts out of the work. | Letting the elbows lock straight, which shifts load to the wrists and forearms. | Raising the arms above shoulder height, where the traps take over from the side delts. | Using a band too heavy for the lift, breaking form and losing the strict isolation pattern.","Builds wider, more capped side delts without dumbbells. | Trains the lateral delts at peak resistance through the band's strength curve. | Travel- and home-friendly — works anywhere with a single resistance band.","Set your shoulders, brace your trunk, and press through a controlled path.",Shoulders,,Band,Push,beginner,posters/band-lateral-raise.webp,band-lateral-raise.mp4,Band Lateral Raise,draft_requires_human_review,
band-pullover,Band Pullover,Pullover,A standing band pullover that trains the lats through their stretched range.,"Anchor a band overhead and grip the handle or both ends with arms reaching straight up above your head. | Step back until the band has tension at full overhead extension and stand tall with feet shoulder-width. | Keep a slight bend in your elbows and pull your arms down in a wide arc to your hips. | Squeeze your lats hard at the bottom, feeling the contraction across the sides of your back. | Slowly return your arms overhead with control over 2 to 3 seconds, fighting the band the whole way up. | Repeat for 12 to 15 reps, focusing on the lat stretch at the top and the squeeze at the bottom.","Bending the elbows too much and turning the move into a triceps extension instead of a lat pull. | Pulling with the chest and shoulders rather than driving from the lats and shoulder blades. | Cutting the range short at the top — the stretched overhead position is where the growth happens. | Letting the lower back arch as you reach overhead, which leaks tension and risks lumbar stress.","Loads the lats in their stretched range, where most growth happens. | Improves overhead shoulder mobility with controlled reach. | Adds a band-friendly hypertrophy piece to any back day.",Keep your ribs controlled and lead the movement with your elbows.,Back,,Band,Pull,beginner,posters/band-pullover.webp,band-pullover.mp4,Band Pullover,draft_requires_human_review,
band-romanian-deadlift,Band Romanian Deadlift,Romanian Deadlift | RDL,A hip-hinge Romanian deadlift using band resistance.,"Stand on the middle of a band with feet hip-width apart, holding one handle in each hand at your thighs. | Soften your knees slightly and lock your spine in a neutral position with your chest up. | Push your hips back behind you while letting your hands slide down your thighs toward your shins. | Stop when you feel a strong stretch in your hamstrings — depth matters less than tension. | Drive your hips forward to return to standing, squeezing your glutes at the top of the movement. | Repeat for 10 to 12 reps, focusing on the hip-hinge pattern rather than band tension.","Bending at the knees and squatting down instead of hinging at the hips — turns the move into a half-squat. | Rounding the lower back as you hinge, which puts load on the spine instead of the hamstrings. | Going too low and losing the hamstring stretch — stop where the stretch is strongest, not where the floor is. | Standing on too narrow a band section, making the resistance uneven and twisting the bar path.",Builds hamstring and glute strength without a barbell or dumbbells. | Trains the hip-hinge pattern that protects the lower back during heavier lifts. | Travel- and home-friendly — works anywhere with a single resistance band.,"Push your hips back, keep the load close, and move through a range you can control.",Glutes | Hamstrings,Core,Band,Hinge,beginner,posters/band-romanian-deadlift.webp,band-romanian-deadlift.mp4,Band Romanian Deadlift,draft_requires_human_review,marketing_or_hype_language
band-row,Band Row,Row,"A standing horizontal band row that trains the lats, mid-back, and biceps.","Anchor a band at chest height and grip both handles with arms straight out in front of you. | Step back until the band has tension at full extension and stand tall with feet shoulder-width apart. | Pull both handles toward your ribs, keeping your elbows tucked close to your sides. | Squeeze your shoulder blades together at the end of the pull, feeling the mid-back engage. | Slowly return your hands forward over 2 to 3 seconds, fighting the band's pull the whole way. | Repeat for 10 to 15 reps, prioritizing the squeeze at the back rather than the speed of the pull.","Letting the elbows flare out wide — keeps the lats out of the lift and loads the rear delts only. | Leaning back to use bodyweight instead of pulling cleanly with the back. | Shrugging the shoulders up at the end of the pull, swapping mid-back work for trap engagement. | Snapping the band back forward and skipping the eccentric, where most of the muscle-building tension lives.","Builds the lats, mid-back, and biceps without weights or a machine. | Trains the horizontal pull pattern that balances out pressing work. | Travel- and home-friendly — works anywhere with a single band and an anchor point.",Keep your ribs controlled and lead the movement with your elbows.,Back,Biceps,Band,Pull,beginner,posters/band-row.webp,band-row.mp4,Band Row,draft_requires_human_review,
band-seated-pulldown,Band Seated Pulldown,Seated Pulldown,A seated pulldown using a band anchored overhead.,"Anchor a band high overhead — over a door or beam — and sit on the floor or a bench beneath it. | Reach up and grab both ends of the band with arms straight overhead, palms facing forward. | Pull both elbows down toward your ribs, leading with the elbows rather than the hands. | Squeeze your shoulder blades down and together at the bottom, fully contracting the lats. | Slowly return your arms overhead with control over 2 to 3 seconds, keeping band tension throughout. | Repeat for 10 to 15 reps, focusing on a clean lat squeeze at the bottom of every pull.","Leaning back during the pull, which turns the seated pulldown into a row. | Pulling with the biceps and bending the wrists rather than driving from the lats. | Letting the shoulders shrug up at the top, losing the vertical-pull pattern. | Releasing the band too quickly on the eccentric, missing half the time-under-tension benefit.",Isolates the lats by removing leg and hip compensation. | Builds vertical pulling strength for users not yet at a pull-up. | Stable seated position works well for graded exercise and beginner content.,Keep your ribs controlled and lead the movement with your elbows.,Back,Biceps,Band,Pull,beginner,posters/band-seated-pulldown.webp,band-seated-pulldown.mp4,Band Seated Pulldown,draft_requires_human_review,medical_or_rehab_claim
band-shrug,Band Shrug,Shrug,A standing band shrug that isolates the upper traps.,"Stand on the middle of a band with feet shoulder-width apart, holding one handle in each hand at your sides. | Stand tall with arms straight, shoulders relaxed down, and chin slightly tucked for a neutral neck. | Lift both shoulders straight up toward your ears, keeping your arms straight and elbows soft. | Pause briefly at the top, squeezing the upper traps under the band's peak tension. | Lower your shoulders back down with control over a 2 to 3 second eccentric, fighting the band. | Repeat for 12 to 20 reps, focusing on the trap squeeze at the top rather than the speed.","Rolling the shoulders forward and back rather than lifting straight up — adds nothing and risks the joint. | Bending the elbows during the shrug, turning the move into a partial row. | Standing on too narrow a section of band, making the tension uneven across the two arms. | Rushing the eccentric and letting the band snap your shoulders down, losing the hardest part of the rep.",Builds upper trap strength for posture and neck stability. | Improves the deadlift lockout by training a stronger trap contraction. | Low-impact and travel-friendly — works anywhere with a single band.,Keep your ribs controlled and lead the movement with your elbows.,Trapezius,,Band,Pull,beginner,posters/band-shrug.webp,band-shrug.mp4,Band Shrug,draft_requires_human_review,
band-single-arm-lateral-raise,Band Single Arm Lateral Raise,Single Arm Lateral Raise,A unilateral band lateral raise that builds the side delts one arm at a time.,"Stand on one end of a band with your right foot, holding the other handle in your right hand at your thigh. | Plant your feet shoulder-width apart, keeping a slight bend in your working elbow throughout. | Lift your right arm straight out to the side until your hand reaches shoulder height. | Pause briefly at the top, feeling the side delt squeeze under the band's peak tension. | Lower your arm back down with control over a 2 to 3 second eccentric, fighting the band the whole way. | Complete 10 to 12 reps per arm, switching sides once the working delt is fully fatigued.","Leaning the torso to the opposite side to swing the arm up — momentum cheats the side delt. | Letting the working elbow lock straight, which shifts load to the wrists and forearms. | Raising the arm above shoulder height, where the traps take over from the side delts. | Using a band tension that's too heavy and breaking form rather than dropping to clean reps.","Builds side delt strength one arm at a time, exposing imbalances. | Trains better side-to-side symmetry for cleaner shoulder development. | Travel- and home-friendly — works with a single band, no weights.","Set your shoulders, brace your trunk, and press through a controlled path.",Shoulders,,Band,Push,beginner,posters/band-single-arm-lateral-raise.webp,band-single-arm-lateral-raise.mp4,Band Single Arm Lateral Raise,draft_requires_human_review,medical_or_rehab_claim | posture_or_correction_claim
band-wood-chopper,Band Wood Chopper,Wood Chopper,A diagonal band chop that trains rotational power through the obliques and the entire core.,"Anchor a band at shoulder height or slightly above on your left side and stand perpendicular to the anchor. | Grip the handle with both hands and step away until the band has tension across your body. | Pull the handle down and across your body toward your right hip, rotating through the torso. | Pivot your left foot as you rotate, fully turning the trunk to load the obliques explosively. | Slowly return to the starting position over 2 to 3 seconds, fighting the band's pull the whole way. | Complete 8 to 12 reps per side, then switch the anchor and work the opposite direction.","Pulling with the arms instead of rotating through the trunk — turns the move into a one-arm row. | Skipping the foot pivot, which limits the rotation range and stresses the lower back. | Going too heavy and breaking form — the chop should look athletic and controlled, not rushed. | Forgetting to work both sides equally, leaving the trunk imbalanced for rotational sport.","Builds rotational power for golf, tennis, baseball, and combat sports. | Strengthens the obliques and entire trunk in a single athletic pattern. | Improves core control under rotation, reducing loss of control in dynamic sports.",Rotate through the trunk under control without forcing the end range.,Core,,Band,Rotation,advanced,posters/band-wood-chopper.webp,band-wood-chopper.mp4,Band Wood Chopper,draft_requires_human_review,medical_or_rehab_claim
barbell-banded-back-squat,Barbell Banded Back Squat,Banded Back Squat,A back squat with bands attached to the bar.,"Loop bands around the bar near the sleeves and anchor them to the bottom of the squat rack. | Step under the bar, position it on your upper traps, and unrack with feet shoulder-width apart. | Brace your core hard and squat down with control until your hip crease drops below your knees. | Drive explosively up through your heels, accelerating against the band tension as you stand. | Lock out at the top with hips fully extended, then reset your breath and brace before the next rep. | Complete 3 to 6 reps per set, prioritizing speed and bar control over pure load on the bar.","Letting the chest collapse forward at the bottom, turning the squat into a good-morning. | Slowing the ascent through the band tension instead of accelerating — defeats the point of accommodating resistance. | Setting up bands unevenly so the bar tilts during the lift, creating dangerous side-to-side load. | Using bands too heavy for the user's experience level, breaking form and risking the spine.","Builds explosive lockout strength for the back squat. | Trains the body to accelerate through the full range, not just out of the hole. | Bridges raw strength training with athletic power development.","Brace your trunk, keep your whole foot planted, and track your knees with your toes.",Quadriceps,Glutes,Barbell,Squat,intermediate,posters/barbell-banded-back-squat.webp,barbell-banded-back-squat.mp4,Barbell Banded Back Squat,draft_requires_human_review,marketing_or_hype_language
